thème;Question;reponse1;reponse2;reponse3;Bonne reponse
Guerre d'Algérie;L'Algérie était-elle une colonie ou un département avant le conflit ?;Une colonie.;Un protectorat.;Des départements français.;3
Guerre d'Algérie;Quel mouvement a lancé l'insurrection en 1954 ?;Le RPF.;Le FLN.;Le MNA.;2
Guerre d'Algérie;En quelle année la Guerre d'Algérie débute-t-elle ?;1945;1954;1962;2
Guerre d'Algérie;Qui était Président lors des Accords d'Évian ?;François Mitterrand.;Charles de Gaulle.;Pierre Mendès France.;2
Guerre d'Algérie;En quelle année l'Algérie obtient-elle son indépendance ?;1958;1962;1965;2
Guerre d'Algérie;Comment appelle-t-on les Algériens ayant combattu avec la France ?;Les pieds-noirs.;Les Harkis.;Les Moudjahidines.;2
Guerre d'Algérie;Comment appelle-t-on la journée d'attentats qui marque le début de la guerre ?;La Toussaint Rouge.;Le Dimanche Sanglant.;La Nuit de Cristal.;1
Guerre d'Algérie;Quel nom donne-t-on aux Européens d'Algérie qui ont dû quitter le pays en 1962 ?;Les Harkis.;Les Pieds-Noirs.;Les Sans-Papiers.;2
Guerre d'Algérie;Quelle organisation clandestine française (OAS) refusait l'indépendance et pratiquait le terrorisme ?;Le FLN.;L'OAS (Organisation Armée Secrète).;Le SAC.;2
Guerre d'Algérie;Quelle méthode illégale a été utilisée par l'armée française lors de la Bataille d'Alger ?;La torture.;Le napalm.;L'arme nucléaire.;1
Guerre d'Algérie;Quel changement de régime politique en France la guerre d'Algérie a-t-elle provoqué en 1958 ?;Le passage de la IVe à la Ve République.;Le retour de la Monarchie.;L'Empire.;1
Guerre d'Algérie;Où ont été signés les accords mettant fin à la guerre en mars 1962 ?;À Paris.;À Évian.;À Alger.;2
Guerre d'Algérie;Quelle manifestation d'Algériens à Paris a été violemment réprimée le 17 octobre 1961 ?;La marche pour l'égalité.;La manifestation du FLN.;Les gilets jaunes.;2
Guerre d'Algérie;Comment s'appelait le principal chef militaire français lors de la Bataille d'Alger ?;Le général Leclerc.;Le général Massu.;Le maréchal Pétain.;2
Guerre d'Algérie;Quel fut le sort de nombreux Harkis après 1962 ?;Ils sont devenus ministres en Algérie.;Ils ont été massacrés ou parqués dans des camps en France.;Ils sont partis aux USA.;2